,title,description,date,type
0,Мониторинг предприятий: деловая активность бизнеса продолжает расти,В октябре рост экономической активности вновь ускорился после замедления в последние четыре месяца.,Сегодня,Новость
1,Рост потребительских цен сохраняется на высоком уровне,"В сентябре с учетом сезонности цены росли быстрее, чем в августе. Заметно подорожали услуги зарубежного туризма и транспорта, выше обычной была индексация стоимости образовательных услуг. Многие показатели устойчивого роста цен также возросли к предыдущему месяцу.",Сегодня,Новость
2,Результаты мониторинга максимальных процентных ставок кредитных организаций,"Результаты мониторинга в октябре 2024 года максимальных процентных ставок по вкладам1 в российских рублях десяти кредитных организаций2, привлекающих наибольший объём депозитов физических лиц:",Сегодня,Пресс-релиз
3,О чем говорят тренды: рост экономики становится более умеренным,"Большинство статистических данных и опросных показателей указывают на замедление экономики за счет факторов как спроса, так и предложения. Постепенно охлаждается кредитование, снижается потребность работодателей в новых сотрудниках, у населения растет склонность к сбережениям.",15 октября 2024,Новость
4,Банк России утвердил Основные направления развития финансовых технологий до 2027 года,Бесшовность в предоставлении услуг и их безопасность для клиентов по-прежнему будут главными принципами внедрения финансовых технологий в ближайшие три года.,15 октября 2024,Новость
5,Банк России завершил обсуждение предложений о перспективных направлениях развития рынка МФО до 2027 года,"Большинство участников обсуждения концептуально поддержали необходимость стимулирования рынка доступных займов для граждан и бизнеса. Они также считают, что микрофинансовым организациям (МФО) следует исключать негативные практики, которые приводят к закредитованности граждан.",14 октября 2024,Новость
6,Главы центральных банков и министры финансов стран БРИКС обсудили приоритеты сотрудничества,На встрече в Москве Председатель Банка России Эльвира Набиуллина и Министр финансов Российской Федерации Антон Силуанов подвели итоги российского председательства в БРИКС по линии центральных банков и министерств финансов.,11 октября 2024,Новость
7,Доверительное управление без стандартных стратегий: указание Банка России,Доверительные управляющие с 1 января 2025 года будут предлагать частным инвесторам только индивидуальные стратегии.,11 октября 2024,Новость
8,Банки станут быстрее включать реквизиты мошенников в свои системы,"Банк России установил время, в течение которого кредитные организации будут вносить реквизиты злоумышленников, поступившие из базы данных регулятора, в собственные системы противодействия подозрительным операциям. Это позволит уменьшить количество новых переводов на счета мошенников.  ",11 октября 2024,Новость
9,Банк России отменяет ограничение ПСК по ипотеке до 31 марта 2025 года,Совет директоров Банка России принял решение с 10 октября 2024 года по 31 марта 2025 года не ограничивать для кредитных организаций полную стоимость кредита (ПСК) по ипотечным потребительским кредитам на покупку (строительство) жилья или земельного участка.,10 октября 2024,Пресс-релиз
10,Мониторинг отраслевых финансовых потоков: замедление роста экономики в III квартале,"В июле — сентябре рост входящих платежей, проведенных через Банк России, составил в среднем 0,4% после 7,4% в II квартале.",10 октября 2024,Новость
11,Осенний цикл вебинаров «Финтрек» для студентов и преподавателей начнется 23 октября,"В новом сезоне участников ждут 5 вебинаров с представителями Банка России и экспертами финансового рынка. «Финтрек» — это уникальная возможность узнать из первых уст, почему возникает инфляция, что такое генеративный искусственный интеллект, кто такие дропы и что делать человеку, которого вовлекли в дропперство. Расскажут и о том, с чего начать карьерный путь и как прийти к успеху. Темы выбирались с учетом обратной связи от участников прошлого сезона «Финтрека».",10 октября 2024,Новость
12,"Рынок ПФИ восстанавливается постепенно, активнее всего – процентные деривативы","Рынок производных финансовых инструментов начал восстанавливаться в 2023 году, однако в условиях ограниченного доступа на внешние рынки и сложностей с расчетами это происходит постепенно.",10 октября 2024,Новость
13,Денежно-кредитные условия в сентябре ужесточились,"Номинальные и реальные ставки в большинстве сегментов финансового рынка выросли. Инфляционные ожидания населения и бизнеса снизились, но все еще находятся на исторически повышенных уровнях.",09 октября 2024,Новость
14,Перспективы развития удаленной идентификации клиентов финансовых организаций: доклад Банка России,"Цифровизация финансовой сферы, развитие дистанционных каналов обслуживания создали запрос на удаленную идентификацию клиентов финансовых организаций. Банк России предлагает обсудить направления дальнейшего развития этого института, необходимость внедрения новых механизмов и технологических решений, а также возможные риски и способы их минимизации.",09 октября 2024,Новость
15,Банк России разработал проект Основных направлений повышения доступности финансовых услуг до 2027 года,"Среди приоритетов на ближайшие три года — улучшение финансового самочувствия населения, повышение потребительской ценности и полезности финансовых продуктов. Этих целей планируется достичь с помощью внедрения принципов управления продуктом на финансовом рынке.",08 октября 2024,Новость
16,"Акции в сентябре перешли к росту, рубль продолжил снижаться","В сентябре Индекс МосБиржи впервые с мая вырос — на 7,8%. Позитивное влияние на рынок акций оказали, в частности, новости о дивидендах отдельных компаний.",08 октября 2024,Новость
17,Банк России опубликовал полугодовой отчет о деятельности Комитета по наблюдению за процентной ставкой RUONIA,"Документ содержит результаты мониторинга и аналитический обзор RUONIA и ее срочной версии, а также информацию о динамике ставки и ее применении в финансовых инструментах в первом полугодии 2024 года.",07 октября 2024,Пресс-релиз
18,Мелочь на обмен: стартует «Монетная неделя»,Акция пройдет с 7 по 20 октября по всей стране.,07 октября 2024,Новость
19,Георгий Победоносец в золоте,Банк России 7 октября 2024 года выпускает в обращение инвестиционную золотую монету «Георгий Победоносец» номиналом 100 рублей (каталожный № 5217-0048).,07 октября 2024,Пресс-релиз
20,Состоялось заседание Межбанковского валютного совета центральных банков России и Беларуси,В Ярославле прошло 60-е заседание Межбанковского валютного совета Центрального банка Российской Федерации и Национального банка Республики Беларусь. В нем приняли участие Председатель Банка России Эльвира Набиуллина и Председатель Правления Национального банка Республики Беларусь Павел Каллаур.,04 октября 2024,Новость
21,Программа «Финансовый навигатор» начнется 3 октября,"Вебинары Банка России о личных финансах и инвестициях рассчитаны на молодежь и взрослых слушателей. Полученные на них знания помогут грамотно выстроить личную стратегию, чтобы достичь своих финансовых целей и узнать, как избежать возможных финансовых ловушек.",02 октября 2024,Новость
22,Банк России упростил участие негосударственных пенсионных фондов в IPO,"Негосударственные пенсионные фонды (НПФ) смогут покупать акции эмитента при первичном публичном предложении (IPO), если совокупный объем размещения на организованных торгах составляет не менее 3 млрд рублей. Ранее порог для участия фондов в IPO оценивался в 50 млрд рублей.",02 октября 2024,Новость
23,Ювелирное искусство в России: новые монеты,Банк России 2 октября 2024 года выпускает в обращение памятные серебряные монеты «Корчик ювелирной фирмы «Фаберже» серии «Ювелирное искусство в России»:,02 октября 2024,Пресс-релиз
24,С 1 октября при покупке инвестиционных страховых продуктов надо проходить тест,"Сложные страховые продукты с инвестиционной составляющей можно будет продавать неквалифицированному инвестору только в том случае, если он понимает их особенности и риски. Для того чтобы убедиться в знаниях клиента, участник рынка должен будет его протестировать.",01 октября 2024,Новость
