BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
EQDP,2018-01-03,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
SMAL,2018-01-03,ГАЗПРОМ ао,GAZP,8,2894.58,131.46,131.0,131.99,,131.47,131.99,22,,,,0.0,0.0,0.0,,3,SUR,1.63
TQBR,2018-01-03,ГАЗПРОМ ао,GAZP,13214,1384859815.3,131.03,130.63,132.2,132.2,131.47,132.2,10533920,131.47,131.47,132.2,1384859815.3,1384859815.3,1384859815.3,,3,SUR,1.3
EQDP,2018-01-04,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
SMAL,2018-01-04,ГАЗПРОМ ао,GAZP,4,1351.86,135.42,135.03,135.42,,134.98,135.03,10,,,,0.0,0.0,0.0,,3,SUR,2.3
TQBR,2018-01-04,ГАЗПРОМ ао,GAZP,34335,4332522384.4,132.5,132.3,136.2,135.89,134.98,135.89,32096510,134.98,134.98,135.89,4332522384.4,4332522384.4,4332522384.4,,3,SUR,2.79
EQDP,2018-01-05,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
SMAL,2018-01-05,ГАЗПРОМ ао,GAZP,1,136.18,136.18,136.18,136.18,,136.43,136.18,1,,,,0.0,0.0,0.0,,3,SUR,0.85
TQBR,2018-01-05,ГАЗПРОМ ао,GAZP,23590,2725954065.9,135.6,135.08,137.12,137.12,136.43,137.12,19981160,136.43,136.43,137.12,2725954065.9,2725954065.9,2725954065.9,,3,SUR,0.91
EQDP,2018-01-09,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
SMAL,2018-01-09,ГАЗПРОМ ао,GAZP,13,5300.93,139.01,139.0,140.44,,139.85,139.4,38,,,,0.0,0.0,0.0,,3,SUR,2.36
TQBR,2018-01-09,ГАЗПРОМ ао,GAZP,48830,7341282132.4,138.0,137.6,141.35,140.0,139.85,140.0,52493430,139.85,139.85,140.0,7341282132.4,7341282132.4,7341282132.4,,3,SUR,2.1
EQDP,2018-01-10,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
SMAL,2018-01-10,ГАЗПРОМ ао,GAZP,25,8815.75,141.8,141.0,143.35,,141.76,142.81,62,,,,0.0,0.0,0.0,,3,SUR,2.45
TQBR,2018-01-10,ГАЗПРОМ ао,GAZP,48172,7339463567.4,140.49,139.58,143.43,143.43,141.76,143.43,51773200,141.76,141.76,143.43,7339463567.4,7339463567.4,7339463567.4,,3,SUR,2.45
EQDP,2018-01-11,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,
SMAL,2018-01-11,ГАЗПРОМ ао,GAZP,27,12828.56,144.01,143.55,145.29,,143.94,144.42,89,,,,0.0,0.0,0.0,,3,SUR,1.13
TQBR,2018-01-11,ГАЗПРОМ ао,GAZP,44444,5553410330.4,143.21,142.31,144.8,144.58,143.94,144.58,38582520,143.94,143.94,144.58,5553410330.4,5553410330.4,5553410330.4,,3,SUR,0.8
