BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2022-01-03,ГАЗПРОМ ао,GAZP,17,25855.84,349.99,347.0,354.72,,350.21,354.72,74,,,,0.0,0.0,0.0,0,3,SUR,3.28
TQBR,2022-01-03,ГАЗПРОМ ао,GAZP,102719,14049786413.6,345.0,344.3,353.88,350.9,350.21,353.73,40118360,350.62,350.62,350.9,10426978198.3,10426978198.3,10426978198.3,0,3,SUR,3.31
SMAL,2022-01-04,ГАЗПРОМ ао,GAZP,17,14886.76,356.84,348.79,357.73,,353.15,352.0,42,,,,0.0,0.0,0.0,0,3,SUR,-0.77
TQBR,2022-01-04,ГАЗПРОМ ао,GAZP,109063,18613756907.7,353.98,348.35,358.1,352.7,353.15,352.55,52707650,352.57,352.57,352.7,14450970741.8,14450970741.8,14450970741.8,0,3,SUR,-0.33
SMAL,2022-01-05,ГАЗПРОМ ао,GAZP,53,49074.37,349.31,334.2,355.64,,343.54,334.99,144,,,,0.0,0.0,0.0,0,3,SUR,-4.83
TQBR,2022-01-05,ГАЗПРОМ ао,GAZP,164974,27818263774.4,351.9,331.55,353.5,345.2,343.54,335.0,80976450,347.54,347.54,345.2,14077314667.6,14077314667.6,14077314667.6,0,3,SUR,-4.98
SMAL,2022-01-06,ГАЗПРОМ ао,GAZP,29,16442.0,340.0,336.21,345.87,,341.26,345.69,48,,,,0.0,0.0,0.0,0,3,SUR,3.19
TQBR,2022-01-06,ГАЗПРОМ ао,GAZP,136655,25458415508.6,335.9,330.11,347.67,343.98,341.26,346.13,74599950,341.5,341.5,343.98,17836074177.9,17836074177.9,17836074177.9,0,3,SUR,3.32
TQBR,2022-01-07,ГАЗПРОМ ао,GAZP,0,0.0,,,,346.56,,,0,341.5,343.98,346.56,17836074177.9,1155772.8,17836074177.9,0,3,SUR,
SMAL,2022-01-10,ГАЗПРОМ ао,GAZP,29,21391.3,350.0,340.07,350.0,,345.36,344.85,62,,,,0.0,0.0,0.0,0,3,SUR,-0.24
TQBR,2022-01-10,ГАЗПРОМ ао,GAZP,121753,17645900852.8,348.56,340.51,351.0,342.46,345.36,344.0,51090750,345.04,345.04,342.46,13668964403.0,13668964403.0,13668964403.0,0,3,SUR,-0.62
SMAL,2022-01-11,ГАЗПРОМ ао,GAZP,13,9597.71,346.97,340.65,348.79,,343.7,346.86,28,,,,0.0,0.0,0.0,0,3,SUR,0.58
TQBR,2022-01-11,ГАЗПРОМ ао,GAZP,78443,14424717107.6,344.68,341.27,347.0,342.22,343.7,343.74,41969410,343.62,343.62,342.22,11739338872.2,11739338872.2,11739338872.2,0,3,SUR,-0.08
SMAL,2022-01-12,ГАЗПРОМ ао,GAZP,33,28220.17,340.31,340.0,350.99,,345.3,348.99,82,,,,0.0,0.0,0.0,0,3,SUR,0.61
TQBR,2022-01-12,ГАЗПРОМ ао,GAZP,108232,18459005855.8,344.48,339.57,348.64,346.9,345.3,347.43,53456250,345.4,345.4,346.9,15387217527.5,15387217527.5,15387217527.5,0,3,SUR,1.07
SMAL,2022-01-13,ГАЗПРОМ ао,GAZP,42,32596.2,347.97,334.8,349.96,,338.81,338.15,96,,,,0.0,0.0,0.0,0,3,SUR,-3.11
TQBR,2022-01-13,ГАЗПРОМ ао,GAZP,194209,40075191158.8,347.01,333.49,347.5,334.69,338.81,337.6,118269470,338.9,338.9,334.69,33163276527.9,33163276527.9,33163276527.9,0,3,SUR,-2.83
SMAL,2022-01-14,ГАЗПРОМ ао,GAZP,43,29322.54,343.33,324.87,343.33,,331.62,328.91,88,,,,0.0,0.0,0.0,0,3,SUR,-2.73
TQBR,2022-01-14,ГАЗПРОМ ао,GAZP,221668,39984841400.5,338.59,321.51,340.96,332.21,331.62,335.76,120568340,330.93,330.93,332.21,34482427861.2,34482427861.2,34482427861.2,0,3,SUR,-0.55
SMAL,2022-01-17,ГАЗПРОМ ао,GAZP,34,33856.59,333.18,322.0,339.97,,328.83,324.88,103,,,,0.0,0.0,0.0,0,3,SUR,-1.23
TQBR,2022-01-17,ГАЗПРОМ ао,GAZP,182406,31873356333.6,335.9,319.17,338.95,327.3,328.83,327.81,96946290,328.09,328.09,327.3,26207481594.3,26207481594.3,26207481594.3,0,3,SUR,-2.37
SMAL,2022-01-18,ГАЗПРОМ ао,GAZP,66,46514.55,322.5,300.0,326.97,,308.62,304.92,150,,,,0.0,0.0,0.0,0,3,SUR,-6.14
TQBR,2022-01-18,ГАЗПРОМ ао,GAZP,374102,67931962524.0,329.11,296.7,329.3,299.47,308.62,301.11,220122140,308.99,308.99,299.47,56367292346.0,56367292346.0,56367292346.0,0,3,SUR,-8.14
SMAL,2022-01-19,ГАЗПРОМ ао,GAZP,27,19404.54,295.0,286.02,320.5,,307.16,318.6,64,,,,0.0,0.0,0.0,0,3,SUR,4.49
TQBR,2022-01-19,ГАЗПРОМ ао,GAZP,374527,67619835390.9,299.0,282.72,320.42,316.83,307.16,318.36,220090450,311.57,311.57,316.83,51244744319.0,51244744319.0,51244744319.0,0,3,SUR,5.73
SMAL,2022-01-20,ГАЗПРОМ ао,GAZP,479,1156893.04,324.4,310.4,345.16,,316.67,311.23,3415,,,,0.0,0.0,0.0,0,3,SUR,-2.31
TQBR,2022-01-20,ГАЗПРОМ ао,GAZP,232265,41253801322.2,318.4,310.07,326.69,318.1,316.67,310.42,130272450,316.19,316.19,318.1,31312375053.4,31312375053.4,31312375053.4,0,3,SUR,-2.49
SMAL,2022-01-21,ГАЗПРОМ ао,GAZP,26,30223.83,327.0,305.43,327.0,,313.0,323.62,96,,,,0.0,0.0,0.0,0,3,SUR,3.98
TQBR,2022-01-21,ГАЗПРОМ ао,GAZP,197266,37295311721.4,309.49,303.5,321.99,313.47,313.0,311.6,119138170,314.18,314.18,313.47,29064204920.7,29064204920.7,29064204920.7,0,3,SUR,0.38
SMAL,2022-01-24,ГАЗПРОМ ао,GAZP,97,65285.4,311.89,280.01,315.49,,292.56,293.03,222,,,,0.0,0.0,0.0,0,3,SUR,-9.45
TQBR,2022-01-24,ГАЗПРОМ ао,GAZP,412482,69206152250.1,310.8,280.6,314.0,292.75,292.56,294.59,236552480,291.93,291.93,292.75,60260015127.8,60260015127.8,60260015127.8,0,3,SUR,-5.46
SMAL,2022-01-25,ГАЗПРОМ ао,GAZP,18,16679.15,293.04,293.03,311.48,,296.62,302.69,56,,,,0.0,0.0,0.0,0,3,SUR,3.3
TQBR,2022-01-25,ГАЗПРОМ ао,GAZP,229378,42470714906.6,293.94,289.62,305.0,294.34,296.62,302.96,143186690,295.63,295.63,294.34,29298637398.2,29298637398.2,29298637398.2,0,3,SUR,2.84
SMAL,2022-01-26,ГАЗПРОМ ао,GAZP,48,56966.6,311.4,291.45,311.4,,301.82,298.91,188,,,,0.0,0.0,0.0,0,3,SUR,-1.25
TQBR,2022-01-26,ГАЗПРОМ ао,GAZP,222767,37750723752.0,302.9,293.7,307.7,302.42,301.82,299.6,125078000,301.63,301.63,302.42,27339972379.6,27339972379.6,27339972379.6,0,3,SUR,-1.11
SMAL,2022-01-27,ГАЗПРОМ ао,GAZP,41,43417.47,299.03,295.01,342.19,,317.02,325.0,139,,,,0.0,0.0,0.0,0,3,SUR,8.73
TQBR,2022-01-27,ГАЗПРОМ ао,GAZP,333005,68501410536.0,296.93,294.0,330.0,323.02,317.02,325.25,216081130,317.4,317.4,323.02,59569292966.4,59569292966.4,59569292966.4,0,3,SUR,8.56
SMAL,2022-01-28,ГАЗПРОМ ао,GAZP,37,31119.63,329.99,321.97,336.95,,328.69,333.3,95,,,,0.0,0.0,0.0,0,3,SUR,2.55
TQBR,2022-01-28,ГАЗПРОМ ао,GAZP,204702,38206834185.5,325.5,322.05,334.9,328.88,328.69,329.58,116239740,328.26,328.26,328.88,28279136758.1,28279136758.1,28279136758.1,0,3,SUR,1.33
SMAL,2022-01-31,ГАЗПРОМ ао,GAZP,23,18630.72,333.29,328.9,337.4,,333.35,330.06,56,,,,0.0,0.0,0.0,0,3,SUR,-0.97
TQBR,2022-01-31,ГАЗПРОМ ао,GAZP,141780,23307105681.9,330.9,330.52,336.41,331.1,333.35,334.8,69919140,333.44,333.44,331.1,17824895184.6,17824895184.6,17824895184.6,0,3,SUR,1.58
SMAL,2022-02-01,ГАЗПРОМ ао,GAZP,30,36954.97,329.09,326.93,335.99,,331.0,326.93,112,,,,0.0,0.0,0.0,0,3,SUR,-0.95
TQBR,2022-02-01,ГАЗПРОМ ао,GAZP,142361,22512250305.6,334.95,325.3,336.63,329.8,331.0,330.95,68010800,331.12,331.12,329.8,15991341245.0,15991341245.0,15991341245.0,0,3,SUR,-1.15
SMAL,2022-02-02,ГАЗПРОМ ао,GAZP,19,17440.96,331.73,325.54,334.36,,330.27,330.0,53,,,,0.0,0.0,0.0,0,3,SUR,0.94
TQBR,2022-02-02,ГАЗПРОМ ао,GAZP,101744,18085881557.2,332.39,325.7,333.7,330.94,330.27,331.7,54760820,330.14,330.14,330.94,14890414517.3,14890414517.3,14890414517.3,0,3,SUR,0.23
SMAL,2022-02-03,ГАЗПРОМ ао,GAZP,28,23822.15,333.69,322.73,333.82,,325.75,325.0,73,,,,0.0,0.0,0.0,0,3,SUR,-1.52
TQBR,2022-02-03,ГАЗПРОМ ао,GAZP,114834,18763605610.7,330.0,322.3,331.0,324.82,325.75,323.75,57601360,325.66,325.66,324.82,15167103806.3,15167103806.3,15167103806.3,0,3,SUR,-2.4
SMAL,2022-02-04,ГАЗПРОМ ао,GAZP,24,23417.65,315.58,315.58,333.66,,326.62,325.7,72,,,,0.0,0.0,0.0,0,3,SUR,0.22
TQBR,2022-02-04,ГАЗПРОМ ао,GAZP,165959,28956936055.9,325.5,320.88,334.5,321.5,326.62,324.6,88655550,326.99,326.99,321.5,24646786502.3,24646786502.3,24646786502.3,0,3,SUR,0.26
