,title,date,full_text
0,"Президент Финляндии в новогоднем поздравлении заявил, что Россия и США не должны обсуждать Европу без ее участия",2022-01-01,"Президент Финляндии в новогоднем поздравлении заявил, что Россия и США не должны обсуждать Европу без ее участия "
1,Чубайс призвал добиться признания правил создаваемого в России климатического рынка за рубежом,2022-01-02,Чубайс призвал добиться признания правил создаваемого в России климатического рынка за рубежом 
2,Планы на прошлое,2022-01-03,Планы на прошлое Россия и европейские страны занялись комплексным обновлением системы преподавания истории
3,Экспатам добавили процедуры,2022-01-03,Экспатам добавили процедуры Почему требования об обязательном медосмотре возмутили иностранных сотрудников
4,"«Помним про диагнозы, но забываем, что мы за люди»",2022-01-04,"«Помним про диагнозы, но забываем, что мы за люди» Директор бесплатной выездной службы «Хоспис на дому» Екатерина Овсянникова про паллиативную помощь во время пандемии"
5,Онлайн-трансляция происходящего в Казахстане,2022-01-05,Онлайн-трансляция происходящего в Казахстане Во всей стране объявлен режим чрезвычайного положения. ОДКБ согласилась помочь
6,Протесты в Казахстане. Главное за 5 января,2022-01-06,"Протесты в Казахстане. Главное за 5 января Режим ЧП, отключение интернета в стране, мародерство и антитеррористическая операция в Алматы, просьба ОДКБ о помощи"
7,«В богатой стране значительная часть населения живет в нищете — должно было рвануть»,2022-01-07,"«В богатой стране значительная часть населения живет в нищете — должно было рвануть» Специалисты по Центральной Азии о том, насколько ожидаемы были протесты в Казахстане"
8,Русский теннис шагает по Австралии,2022-01-08,"Русский теннис шагает по Австралии Сборная России дошла до полуфинала ATP Сup, а Карен Хачанов и Вероника Кудерметова сыграют в финалах"
9,"Здравствуй, Шерман, Новый год",2022-01-09,"Здравствуй, Шерман, Новый год В Женеве начались судьбоносные переговоры между Россией и США по гарантиям безопасности"
10,«7 лет уверенности» — в деталях,2022-01-10,«7 лет уверенности» — в деталях Президент ООО «Тойота Мотор» — о преимуществах новой программы поддержки для клиентов Toyota и Lexus
11,Следственный генерал перешел в защиту,2022-01-11,"Следственный генерал перешел в защиту Расследовавший дела о катастрофе «Булгарии», пожаре в «Зимней вишне» и беспорядках на Болотной площади получает адвокатский статус"
12,«Проблема положения русскоязычных граждан в Казахстане реально существует»,2022-01-12,«Проблема положения русскоязычных граждан в Казахстане реально существует» Дмитрий Дризе — о скандале вокруг нового казахстанского министра-русофоба
13,Отсутствие паники — правильный выбор,2022-01-13,"Отсутствие паники — правильный выбор Иван Тимофеев — о том, почему новый американский законопроект об антироссийских санкциях вряд ли станет законом"
14,Дензел Вашингтон: «Я все время боролся за собственную жизнь!»,2022-01-14,"Дензел Вашингтон: «Я все время боролся за собственную жизнь!» Актеры «Трагедии Макбета» рассказали о том, как снимали экранизацию пьесы Уильяма Шекспира, которую уже сейчас называют одним из самых громких фильмов года."
15,"Ночной клуб без путан, казино с Black Jack, Polaroid и другие первопроходцы капитализма",2022-01-15,"Ночной клуб без путан, казино с Black Jack, Polaroid и другие первопроходцы капитализма 35 лет назад в СССР стали появляться совместные предприятия"
16,Российские фигуристки упали на медали,2022-01-16,"Российские фигуристки упали на медали Камила Валиева, Анна Щербакова и Александра Трусова заняли весь пьедестал чемпионата Европы в Таллине"
17,«Вашингтон» падает — Овечкин растет,2022-01-17,«Вашингтон» падает — Овечкин растет Во время кризиса клуба российский форвард вышел на первое место в списке лучших бомбардиров и снайперов чемпионата
18,«Итогом этого процесса будет проведение новой линии в Европе»,2022-01-18,«Итогом этого процесса будет проведение новой линии в Европе» Бывший старший директор по России в Совете национальной безопасности США Томас Грэм о российско-американских переговорах по безопасности
19,Курш снова с нами,2022-01-19,"Курш снова с нами О лыжном сезоне, имевшем шансы, но так и не ставшем первым постковидным,— репортаж французского корреспондента «Коммерсантъ Стиль» из Трех долин"
20,Офисы на Ленинском: деловой импульс для района с традициями,2022-01-20,"Офисы на Ленинском: деловой импульс для района с традициями Новый премиальный бизнес-центр у метро «Ленинский проспект», где уже более десяти лет не строили офисных проектов"
21,"Что такое растительный белок, и с чем его едят",2022-01-21,"Что такое растительный белок, и с чем его едят «Коммерсантъ Стиль» разбирается, действительно ли растительное мясо и может заменить обычное. А главное, нужно ли это нам с вами"
22,Политическая запрещенка: какие бренды не пережили новую этику,2022-01-22,"Политическая запрещенка: какие бренды не пережили новую этику Тест к 100-летию мороженого эскимо. Оно покорило мир, а теперь попало в немилость на родине — в США"
23,"«Президенту приходится быть гарантом государственности, фактически не имея никакого реального инструментария»",2022-01-23,"«Президенту приходится быть гарантом государственности, фактически не имея никакого реального инструментария» Армен Саркисян ушел с поста президента Армении"
24,Киргизских журналистов-расследователей обвинили в изготовлении наркотиков,2022-01-24,Киргизских журналистов-расследователей обвинили в изготовлении наркотиков Обыск в редакции прошел сразу после публикации видео о семье главы спецслужбы
25,«Оба сценария предполагают определенную цену и сопряжены с рисками»,2022-01-25,«Оба сценария предполагают определенную цену и сопряжены с рисками» Директор Московского центра Карнеги Дмитрий Тренин о вероятности нового вооруженного конфликта с участием России
26,«Матч Медведева с Оже-Альяссимом был самым зрелищным на Australian Open»,2022-01-26,«Матч Медведева с Оже-Альяссимом был самым зрелищным на Australian Open» Владимир Осипов — об 1/4 финала Открытого чемпионата Австралии
27,«Для каждой вооруженной группы мы находим одну актуальную тему»,2022-01-27,«Для каждой вооруженной группы мы находим одну актуальную тему» Руководитель гуманитарной организации «Женевский призыв» Ален Делетроз рассказал «Ъ» о работе с вооруженными формированиями
28,От высоких зарплат хотят потребовать объяснений,2022-01-28,От высоких зарплат хотят потребовать объяснений Комиссия по ценным бумагам США предложила сделать информацию о доходах топ-менеджеров более прозрачной
29,"«Со всех сторон идет нагнетание, стравливание, провокации»",2022-01-29,"«Со всех сторон идет нагнетание, стравливание, провокации» Леонид Ярмольник, Михаил Шац, Александра Маринина о восприятии новостей вокруг Украины"
30,Украина попала в неприятельские отношения,2022-01-30,Украина попала в неприятельские отношения Президент и премьер Хорватии заняли противоположные позиции в украинском кризисе
31,Санкционное Королевство Великобритании и Северной Ирландии,2022-01-31,Санкционное Королевство Великобритании и Северной Ирландии Лондон выражает готовность к диалогу с Москвой и грозит новыми ограничительными мерами
32,Дональд Трамп выдвигается «спасать Америку»,2022-01-31,Дональд Трамп выдвигается «спасать Америку» Является ли политическая активность бизнесмена намерением еще раз участвовать в президентских выборах
33,На Дальнем Востоке вводят особый собачий режим,2022-02-01,На Дальнем Востоке вводят особый собачий режим Власти Забайкальского и Приморского краев объявили об экстренных мерах противодействия агрессивным бездомным животным
34,Первое китайское,2022-02-02,Первое китайское Российские биатлонисты будут претендовать на олимпийские награды в Пекине. Оцениваем шансы российских спортсменов вместе с Фонбет и Дмитрием Губерниевым
35,МИД Германии: меры России против DW вносят напряженность в германо-российские отношения,2022-02-03,МИД Германии: меры России против DW вносят напряженность в германо-российские отношения В МИД России считают реакцию на меры против DW смешной
