,title,description,date,type,comp_short,data_exchange,data-price
0,НРД может не дождаться разблокировки по лицензиям: 4 варианта действий,"Перевод активов не подпавших под санкции инвесторов с заблокированных счетов НРД возможен до 7 января. «РБК Инвестиции» выяснили, что будет, если этого не произойдет","06 янв 2023, 20:07",Что это значит,"['IMOEX', 'USD/RUB']","['-0.013', '-0.08']","['2156.39', '72.1225']"
1,Акции Bed Bath & Beyond упали на 24% на фоне риска банкротства,"На старте торгов бумаги сети магазинов товаров для дома Bed Bath & Beyond обвалились на 24%. «Американская IKEA» ранее предупреждала о возможном банкротстве, на этом фоне акции компании 5 января потеряли 29,88%","06 янв 2023, 18:14",Новости,['COST'],['4.34'],['482.77']
2,Цены растут по всему миру: как защититься от инфляции в 2023 году,"Инфляция и угроза рецессии на фоне турбулентности в российской и мировой экономике давят на фондовые рынки. Рассказываем, как рекомендуют от нее защищаться эксперты и какие активы имеют шанс дать реальную доходность","06 янв 2023, 09:46",Подборки,"['USD', 'EUR', 'CNY']","['0.04476140609109', '0.36293918062349', '0.20142101418801']","['96.1079', '105.6891', '13.581']"
3,На чем заработал Баффет в 2022 году: 10 самых прибыльных акций Berkshire,Инвестиции конгломерата Berkshire Hathaway Уоррена Баффета в нефть и газ выиграли от роста цен на сырьевые товары в 2022 году,"05 янв 2023, 19:37",Новости,"['BRK B', 'AAPL', 'OXY', 'BAC', 'CVX', 'KO']","['-0.718', '-1.751', '1.832', '-0.525', '1.778', '-0.86']","['312.54', '125.16', '62.24', '34.11', '175.2', '62.24']"
4,«Американская IKEA» допустила банкротство на фоне сильного падения продаж,"Акции сети магазинов товаров для дома Bed Bath & Beyond обвалились на 24%. Компания предупредила, что изучает возможность банкротства, чтобы справиться с падением продаж в США","05 янв 2023, 19:02",Новости,"['MVID', 'COST']","['-2.19', '1.343']","['169.7', '462.69']"
5,Цена на газ в Европе опускалась ниже $700 впервые с сентября 2021 года,Биржевые цены на газ в Европе снижаются из-за сокращения потребления и аномально теплой погоды в регионе,"05 янв 2023, 12:42",Новости,"['BRENT', 'LKOH', 'ROSN']","['-0.991', '-0.705', '0.465']","['82.92', '4087', '367.5']"
6,Аналитик Piper Sandler спрогнозировал снижение S&P 500 на 16% в 2023 году,"Инвесторы на рынке акций, надеющиеся на передышку в новом году после обвала 2022 года, скорее всего, будут разочарованы, считают в Piper Sandler. Индекс S&P500 упадет до 3225 пунктов в 2023 году","05 янв 2023, 12:03",Новости,"['AAPL', 'GOOGL', 'TSLA']","['-1.751', '-2.157', '-2.91']","['125.16', '86.2', '110.1']"
7,Джим Роджерс назвал 3 перспективные акции на российском рынке,"Роджерс давно инвестирует в рынок России и на протяжении последних лет был в совете директоров «ФосАгро». Он рассказал, что его отношение к российским бумагам не поменялось, несмотря на блокировку активов иностранцев","05 янв 2023, 09:30",Новости,"['PHOR', 'MOEX', 'AFLT']","['-0.138', '-0.01', '2.236']","['6518', '95.79', '25.6']"
8,"Джим Роджерс — РБК: «В России я купил бы то, что упало сильнее всего»","«РБК Инвестиции» встретились с Джимом Роджерсом в конце декабря и спросили, на что стоит обратить внимание в 2023 году. Инвестор дал рекомендации по российскому рынку, а еще порассуждал о товарах, сырье и бумагах КНР","05 янв 2023, 09:30",Интервью,"['GOLD', 'Silver', 'PHOR', 'BABA']","['-0.959', '-3.141', '-0.138', '0.192']","['1807.3', '22.82', '6518', '104.1']"
9,"Оборот торгов на Мосбирже в 2022 году достиг рекордных ₽1,1 квадриллиона","Лучшую динамику по объему торгов в 2022 году показали денежный рынок (+41,2%) и рынок агропродукции (рост в 4,9 раза)","04 янв 2023, 18:47",Новости,"['MOEX', 'IMOEX', 'SPBE']","['0.262', '-0.196', '0.519']","['95.8', '2168.42', '116.3']"
